Quantity,Pack Size,Item,Rate,Amount,Price Each,Store Price,Online Price,Rate Category,Pack Size Category
2,12/7.05,Carstens Chocolate Covered Lübecker Marzipan,102.00,204.00,8.50,13.49,13.99,High,Medium Pack
2,7/5.29 OZ,Carstens Christmas Mix Chocolate Covered,45.50,91.00,6.50,10.39,10.89,Low,Small Pack
1,12/3.5 OZ,Carstens Chocolate Covered Lübecker Marzipan Cat Tongues Carstens Chocolate Covered Lübecker Marzipan Cat Tongues,80.40,80.40,6.70,10.69,11.19,Medium,Medium Pack
3,14/4.4 OZ,Carstens Chocolate Covered Lübecker Marzipan Bar Carstens Chocolate Covered Lubecker Marzipan Bar,56.00,168.00,4.00,6.59,7.09,Medium,Medium Pack
3,12/7.1 OZ,Carstens Chocolate Covered Lübecker Marzipan,72.00,216.00,6.00,9.69,10.19,Medium,Medium Pack
2,10/4.9 OZ,Carstens Dark Chocolate Lübecker Marzipan,39.00,78.00,3.90,6.39,6.89,Low,Small Pack
2,10/7.4 OZ,Carstens Cherry Kirsche Chocolate Covered,72.50,145.00,7.25,11.59,12.09,Medium,Small Pack
2,10/7.4 OZ,Carstens Orange Chocolate Covered Marzipan,72.50,145.00,7.25,11.59,12.09,Medium,Small Pack
2,10/7.4 OZ,Carstens Plum in Madeira Chocolate Covered,72.50,145.00,7.25,11.59,12.09,Medium,Small Pack
1,28/2.6 OZ,Anthon Berg® Dark Chocolate Covered,110.60,110.60,3.95,6.49,6.99,High,Large Pack
1,28/2.6 OZ,Anthon Berg® Dark Chocolate Covered,110.60,110.60,3.95,6.49,6.99,High,Large Pack
1,20/1.7 OZ,Reber® Mozart Piano Bar® Milk Chocolate,88.00,88.00,4.40,7.19,7.69,Medium,Medium Pack
1,24/7.05,Hermann The German® Orange Gingerbread,108.00,108.00,4.50,7.29,7.79,High,Medium Pack
1,24/7.05,Hermann The German® Assorted Gingerbread (Glazed Spice Cookies) Bag Hermann The German® Assorted Gingerbread (Glazed Spice Cookies) Bag,90.00,90.00,3.75,6.19,6.69,Medium,Medium Pack
1,24/7.05,Hermann The German® Choco-Pfeffernüsse,108.00,108.00,4.50,7.29,7.79,High,Medium Pack
2,24/7.05,Hermann The German® Pfeffernüsse (Glazed,90.00,180.00,3.75,6.19,6.69,Medium,Medium Pack
1,12/14.1,Hermann the German® Classic Windmill Cookies,42.00,42.00,3.50,5.79,6.29,Low,Medium Pack
2,10/10.6,Hans Freitag Noblesse Noir (Dark) Bag,59.00,118.00,5.90,9.49,9.99,Medium,Small Pack
2,12/11.6,Dutch Bakery Stroopie Syrup Wafer (Waﬄe),61.20,122.40,5.10,8.29,8.79,Medium,Medium Pack
3,18/7 OZ,Bahlsen Contessa Dark Chocolate Covered,94.50,283.50,5.25,8.49,8.99,Medium,Medium Pack
3,18/7 OZ,Bahlsen Contessa Iced Gingerbread Cakes with,94.50,283.50,5.25,8.49,8.99,Medium,Medium Pack
2,10/8.8 OZ,Bahlsen Pretzel Shaped Soft Gingerbread With,57.50,115.00,5.75,9.29,9.79,Medium,Small Pack
2,10/7.9 OZ,Bahlsen Akora Apple & Apricot Jam Filled Soft,57.50,115.00,5.75,9.29,9.79,Medium,Small Pack
2,12/8.8 OZ,Tine® Ski Queen® Goat Salty Caramel Goat's,81.60,163.20,6.80,10.89,11.39,Medium,Medium Pack
5,11/14 OZ,Leksands Original Crispbread Rounds 12/8 OZ 50150 Skansen® Herring Tidbits in Wine Sauce Jar * Skansen® Herring Tidbits in Wine Sauce Jar *,8.50,17.00,0.77,1.59,2.09,Low,Medium Pack
2,8/9.87 OZ,Skansen® Lingonberry Cranberry Artisan,52.00,104.00,6.50,10.39,10.89,Medium,Small Pack
4,32/6.7 OZ,Abba® Kalles Caviar Spread * Refrigeration Required,45.00,135.00,1.41,2.49,2.99,Low,Large Pack
2,12/25.4,Grandpa Lundquist® Glogg Winter Beverage,66.00,132.00,5.50,8.89,9.39,Medium,Medium Pack
1,24/12 OZ,Grandpa Lundquist® Christmas Soda 12 OZ Bottle,39.60,39.60,1.65,2.89,3.39,Low,Medium Pack
